YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECIPTATION_mmday,HUMIDITY_2m,SITE
1981,7,1,18.33,-1.4,6.94,0,2.5,Dordabis
1981,7,2,19.13,-0.38,7.93,0,2.08,Dordabis
1981,7,3,18.23,0.09,8.05,0,2.01,Dordabis
1981,7,4,20.48,3.73,10.79,0,4.21,Dordabis
1981,7,5,21.48,5.99,12.62,0,4.33,Dordabis
1981,7,6,21.9,6.39,12.91,0,3.72,Dordabis
1981,7,7,21.69,4.37,11.73,0,3.11,Dordabis
1981,7,8,19.01,-0.61,7.79,0,2.99,Dordabis
1981,7,9,23.44,4.57,12.57,0,2.26,Dordabis
1981,7,10,23.79,5.63,13.25,0,2.56,Dordabis
1981,7,11,22.46,3.12,10.88,0,1.71,Dordabis
1981,7,12,23.01,1.33,10.81,0,1.22,Dordabis
1981,7,13,22.46,0.27,9.53,0,2.08,Dordabis
1981,7,14,23.81,2.06,12.12,0,2.56,Dordabis
1981,7,15,23.59,8.07,14.42,0,3.11,Dordabis
1981,7,16,22.33,7.45,13.58,0,3.36,Dordabis
1981,7,17,22.01,5.01,12.41,0,3.3,Dordabis
1981,7,18,23.14,6.61,13.95,0,3.42,Dordabis
1981,7,19,23.51,7.45,14.16,0,2.93,Dordabis
1981,7,20,22.38,7.23,13.34,0,2.93,Dordabis
1981,7,21,23.43,5.52,13.47,0,2.75,Dordabis
1981,7,22,23.63,7.71,14.37,0,2.75,Dordabis
1981,7,23,23.3,6.11,13.76,0,2.93,Dordabis
1981,7,24,21.66,5.83,12.78,0,2.32,Dordabis
1981,7,25,22.36,6.87,13.27,0,1.95,Dordabis
1981,7,26,21.65,5.64,12.55,0,2.62,Dordabis
1981,7,27,23.04,6.01,13.66,0,2.99,Dordabis
1981,7,28,23.33,7.24,13.97,0,3.3,Dordabis
1981,7,29,23.25,3.08,12.83,0,3.3,Dordabis
1981,7,30,23.65,7.86,14.55,0,3.05,Dordabis
1981,7,31,23.65,8.05,14.43,0,2.99,Dordabis
1981,8,1,23.71,6.9,13.92,0,3.36,Dordabis
1981,8,2,22.73,5.08,12.73,0,3.23,Dordabis
1981,8,3,21.69,1.83,10.16,0,1.71,Dordabis
1981,8,4,16.62,-2.01,6.19,0,2.75,Dordabis
1981,8,5,23.96,0.37,10.62,0,1.95,Dordabis
1981,8,6,25.93,7.8,15.26,0,1.95,Dordabis
1981,8,7,26.39,9.31,16.55,0,1.83,Dordabis
1981,8,8,26.72,6.77,16.17,0,2.44,Dordabis
1981,8,9,26.94,9.73,16.94,0,2.81,Dordabis
1981,8,10,25.82,7.87,15.62,0,2.26,Dordabis
1981,8,11,25.6,4.86,14.65,0,2.2,Dordabis
1981,8,12,26.47,4.41,14.87,0,1.77,Dordabis
1981,8,13,26.12,6.36,15.87,0,1.65,Dordabis
1981,8,14,25.51,8.73,16.05,0,1.83,Dordabis
1981,8,15,26.73,10.6,17.05,0,2.08,Dordabis
1981,8,16,25.01,8.03,15.48,0,2.62,Dordabis
1981,8,17,24.22,7.27,13.99,0,2.75,Dordabis
1981,8,18,24.71,3.51,13.97,0,2.44,Dordabis
1981,8,19,27.33,6.9,16.43,0,3.11,Dordabis
1981,8,20,26.67,8.05,17.19,0,3.97,Dordabis
1981,8,21,19.73,7,13.64,0.25,5.92,Dordabis
1981,8,22,24.37,7.7,14.98,0.1,5.8,Dordabis
1981,8,23,23.58,3.57,12.33,0,1.83,Dordabis
1981,8,24,24.63,3.33,12.26,0,1.16,Dordabis
1981,8,25,27.3,4.18,15.16,0,0.92,Dordabis
1981,8,26,25.86,8.82,16.19,0,4.46,Dordabis
1981,8,27,20.83,3.48,10.91,0,2.62,Dordabis
1981,8,28,15.69,0.63,7.42,0.42,3.54,Dordabis
1981,8,29,15.22,-3.4,5.42,0,2.14,Dordabis
1981,8,30,17.18,-2.36,6.99,0,2.62,Dordabis
1981,8,31,20.12,-0.22,9.51,0,2.32,Dordabis
1981,9,1,17.33,0.14,8.3,0,2.38,Dordabis
1981,9,2,19.98,-0.62,9.23,0,1.22,Dordabis
1981,9,3,21.09,3.45,11.63,0,3.66,Dordabis
1981,9,4,24.92,5.28,14.81,0,4.46,Dordabis
1981,9,5,25.76,7.62,16.19,0,3.91,Dordabis
1981,9,6,26.26,8.38,16.75,0,3.72,Dordabis
1981,9,7,26.77,9.21,16.77,0,3.72,Dordabis
