AnimalID,GroupID,Location,TrappingPeriod,DateofCapture,CaptureStart,GroupSize,Sex,weight,firstcapturedate,PairedFemales,DatePairedTreated,censor,Time.days,Time.years,statecode
KR10F004,Kuruman 10,KRR,1,02/12/2013,30/11/2013,4,Female,128,02/12/2013,no,NA,NA,0,0,breeder
KR10F004,Kuruman 10,KRR,2,28/07/2014,27/07/2014,5,Female,123,02/12/2013,no,NA,NA,238,0.651608487,breeder
KR10F004,Kuruman 10,KRR,3,18/02/2015,16/02/2015,5,Female,129,02/12/2013,no,NA,NA,443,1.212867899,breeder
KR10F004,Kuruman 10,KRR,4,07/10/2015,07/10/2015,5,Female,145,02/12/2013,no,NA,NA,674,1.845311431,breeder
KR10F004,Kuruman 10,KRR,5,26/04/2016,25/04/2016,10,Female,122,02/12/2013,no,NA,NA,876,2.39835729,breeder
KR10F004,Kuruman 10,KRR,7,20/02/2017,20/02/2017,11,Female,152,02/12/2013,no,NA,NA,1176,3.219712526,breeder
KR10F004,Kuruman 10,KRR,8,20/08/2017,19/08/2017,12,Female,135,02/12/2013,no,NA,NA,1357,3.715263518,breeder
KR10F004,Kuruman 10,KRR,9,18/03/2018,17/03/2018,17,Female,143,02/12/2013,no,NA,NA,1567,4.290212183,breeder
KR10F004,Kuruman 10,KRR,10,07/10/2018,02/10/2018,16,Female,131,02/12/2013,no,NA,NA,1770,4.845995893,breeder
KR10F004,Kuruman 10,KRR,11,14/03/2019,12/03/2019,20,Female,127,02/12/2013,no,NA,NA,1928,5.278576318,breeder
KR10F004,Kuruman 10,KRR,12,10/09/2019,09/09/2019,19,Female,129,02/12/2013,no,NA,NA,2108,5.771389459,breeder
KR10F004,Kuruman 10,KRR,13,11/03/2020,08/03/2020,16,Female,144,02/12/2013,no,NA,NA,2291,6.272416153,breeder
KR10F004,NA,KRR,NA,01/06/2020,01/06/2020,NA,Female,NA,02/12/2013,no,NA,99,2373,6.496919918,breeder
KR10F005,Kuruman 10,KRR,2,28/07/2014,27/07/2014,5,Female,28,28/07/2014,no,NA,NA,0,0,femalenonbreeder
KR10F005,Kuruman 10,KRR,3,16/02/2015,16/02/2015,5,Female,70,28/07/2014,no,NA,NA,203,0.55578371,femalenonbreeder
KR10F005,Kuruman 10,KRR,4,08/10/2015,07/10/2015,5,Female,111,28/07/2014,no,NA,NA,437,1.196440794,femalenonbreeder
KR10F005,Kuruman 10,KRR,5,26/04/2016,25/04/2016,10,Female,113,28/07/2014,no,NA,NA,638,1.746748802,femalenonbreeder
KR10F005,NA,KRR,NA,25/07/2016,25/07/2016,NA,Female,NA,28/07/2014,no,NA,NA,728,1.993155373,Dead
KR10F008,Kuruman 10,KRR,5,26/04/2016,25/04/2016,10,Female,26,26/04/2016,no,NA,NA,0,0,femalenonbreeder
KR10F008,NA,KRR,NA,25/07/2016,25/07/2016,NA,Female,NA,26/04/2016,no,NA,NA,90,0.246406571,Dead
KR10F010,Kuruman 10,KRR,5,26/04/2016,25/04/2016,10,Female,60,26/04/2016,no,NA,NA,0,0,femalenonbreeder
KR10F010,NA,KRR,NA,25/07/2016,25/07/2016,NA,Female,NA,26/04/2016,no,NA,NA,90,0.246406571,Dead
KR10F022,Kuruman 10,KRR,8,20/08/2017,19/08/2017,12,Female,61,20/08/2017,no,NA,NA,0,0,femalenonbreeder
KR10F022,Kuruman 10,KRR,10,04/10/2018,02/10/2018,16,Female,124,20/08/2017,no,NA,NA,410,1.122518823,femalenonbreeder
KR10F022,Kuruman 10,KRR,11,16/03/2019,12/03/2019,20,Female,127,20/08/2017,no,NA,NA,573,1.568788501,femalenonbreeder
KR10F022,Kuruman 10,KRR,12,09/09/2019,09/09/2019,19,Female,112,20/08/2017,no,NA,NA,750,2.05338809,femalenonbreeder
KR10F022,Kuruman 10,KRR,13,09/03/2020,08/03/2020,16,Female,130,20/08/2017,no,NA,NA,932,2.551676934,femalenonbreeder
KR10F022,NA,KRR,NA,01/06/2020,01/06/2020,NA,Female,NA,20/08/2017,no,NA,99,1016,2.7816564,femalenonbreeder
KR10F024,Kuruman 10,KRR,8,21/08/2017,19/08/2017,12,Female,60,21/08/2017,no,NA,NA,0,0,femalenonbreeder
KR10F024,Kuruman 10,KRR,9,18/03/2018,17/03/2018,17,Female,97,21/08/2017,no,NA,NA,209,0.572210815,femalenonbreeder
KR10F024,Kuruman 10,KRR,10,04/10/2018,02/10/2018,16,Female,106,21/08/2017,no,NA,NA,409,1.119780972,femalenonbreeder
KR10F024,Kuruman 10,KRR,11,13/03/2019,12/03/2019,20,Female,111,21/08/2017,no,NA,NA,569,1.557837098,femalenonbreeder
KR10F024,Kuruman 10,KRR,12,10/09/2019,09/09/2019,19,Female,101,21/08/2017,no,NA,NA,750,2.05338809,femalenonbreeder
KR10F024,Kuruman 10,KRR,13,09/03/2020,08/03/2020,16,Female,120,21/08/2017,no,NA,NA,931,2.548939083,femalenonbreeder
KR10F024,NA,KRR,NA,01/06/2020,01/06/2020,NA,Female,NA,21/08/2017,no,NA,99,1015,2.778918549,femalenonbreeder
KR10F036,Kuruman 10,KRR,11,15/03/2019,12/03/2019,20,Female,27,15/03/2019,no,NA,NA,0,0,femalenonbreeder
KR10F036,NA,KRR,NA,09/09/2019,09/09/2019,NA,Female,NA,15/03/2019,no,NA,NA,178,0.48733744,Dead
KR11F001,Kuruman 11,KRR,1,12/04/2014,12/04/2014,1,Female,119,12/04/2014,Paired,06/05/2016,NA,0,0,single
KR11F001,Kuruman 11,KRR,2,13/09/2014,13/09/2014,1,Female,134,12/04/2014,Paired,06/05/2016,NA,154,0.421629021,single
KR11F001,Kuruman 11,KRR,3,08/04/2015,07/04/2015,1,Female,137,12/04/2014,Paired,06/05/2016,NA,361,0.988364134,single
KR11F001,Kuruman 11,KRR,4,07/10/2015,07/10/2015,1,Female,135,12/04/2014,Paired,06/05/2016,NA,543,1.486652977,single
KR11F001,Kuruman 11,KRR,5,04/05/2016,02/05/2016,1,Female,142,12/04/2014,Paired,06/05/2016,NA,753,2.061601643,single
KR11F001,NA,KRR,NA,11/06/2016,11/06/2016,NA,Female,NA,12/04/2014,Paired,06/05/2016,99,791,2.165639973,single
KR11F002,Kuruman 11,KRR,7,20/02/2017,20/02/2017,7,Female,43,20/02/2017,no,NA,NA,0,0,femalenonbreeder
KR11F002,Kuruman 11,KRR,8,19/08/2017,19/08/2017,11,Female,94,20/02/2017,no,NA,NA,180,0.492813142,femalenonbreeder
KR11F002,Kuruman 11,KRR,9,18/03/2018,17/03/2018,15,Female,119,20/02/2017,no,NA,NA,391,1.070499658,femalenonbreeder
KR11F002,Kuruman 11,KRR,10,03/10/2018,02/10/2018,16,Female,119,20/02/2017,no,NA,NA,590,1.615331964,femalenonbreeder
KR11F002,Kuruman 11,KRR,11,14/03/2019,12/03/2019,22,Female,133,20/02/2017,no,NA,NA,752,2.058863792,femalenonbreeder
KR11F002,NA,KRR,NA,09/09/2019,09/09/2019,NA,Female,NA,20/02/2017,no,NA,NA,931,2.548939083,Dead
KR11F003,Kuruman 11,KRR,7,21/02/2017,20/02/2017,7,Female,76,21/02/2017,no,NA,NA,0,0,femalenonbreeder
KR11F003,Kuruman 11,KRR,8,19/08/2017,19/08/2017,11,Female,116,21/02/2017,no,NA,NA,179,0.490075291,femalenonbreeder
KR11F003,Kuruman 11,KRR,9,19/03/2018,17/03/2018,15,Female,133,21/02/2017,no,NA,NA,391,1.070499658,femalenonbreeder
KR11F003,NA,KRR,NA,14/09/2018,14/09/2018,NA,Female,NA,21/02/2017,no,NA,NA,570,1.560574949,Dead
KR11F006,Kuruman 11,KRR,7,22/02/2017,20/02/2017,7,Female,43,22/02/2017,no,NA,NA,0,0,femalenonbreeder
KR11F006,Kuruman 11,KRR,8,19/08/2017,19/08/2017,11,Female,92,22/02/2017,no,NA,NA,178,0.48733744,femalenonbreeder
KR11F006,Kuruman 11,KRR,9,17/03/2018,17/03/2018,15,Female,112,22/02/2017,no,NA,NA,388,1.062286105,femalenonbreeder
KR11F006,Kuruman 11,KRR,10,02/10/2018,02/10/2018,16,Female,137,22/02/2017,no,NA,NA,587,1.607118412,femalenonbreeder
KR11F006,Kuruman 11,KRR,11,13/03/2019,12/03/2019,22,Female,142,22/02/2017,no,NA,NA,749,2.05065024,femalenonbreeder
KR11F006,Kuruman 11,KRR,12,23/09/2019,23/09/2019,20,Female,121,22/02/2017,no,NA,NA,943,2.581793292,femalenonbreeder
KR11F006,NA,KRR,NA,05/03/2020,05/03/2020,NA,Female,NA,22/02/2017,no,NA,NA,1107,3.030800821,Dead
KR11F007,Kuruman 11,KRR,8,19/08/2017,19/08/2017,11,Female,53,19/08/2017,no,NA,NA,0,0,femalenonbreeder
KR11F007,Kuruman 11,KRR,9,18/03/2018,17/03/2018,15,Female,98,19/08/2017,no,NA,NA,211,0.577686516,femalenonbreeder
KR11F007,Kuruman 11,KRR,10,05/10/2018,02/10/2018,16,Female,123,19/08/2017,no,NA,NA,412,1.127994524,femalenonbreeder
KR11F007,Kuruman 11,KRR,11,13/03/2019,12/03/2019,22,Female,128,19/08/2017,no,NA,NA,571,1.563312799,femalenonbreeder
KR11F007,NA,KRR,NA,09/09/2019,09/09/2019,NA,Female,NA,19/08/2017,no,NA,NA,751,2.056125941,Dead
KR11F008,Kuruman 11,KRR,8,20/08/2017,19/08/2017,11,Female,57,20/08/2017,no,NA,NA,0,0,femalenonbreeder
KR11F008,Kuruman 11,KRR,9,18/03/2018,17/03/2018,15,Female,107,20/08/2017,no,NA,NA,210,0.574948665,femalenonbreeder
KR11F008,Kuruman 11,KRR,10,04/10/2018,02/10/2018,16,Female,121,20/08/2017,no,NA,NA,410,1.122518823,femalenonbreeder
KR11F008,Kuruman 11,KRR,11,13/03/2019,12/03/2019,22,Female,122,20/08/2017,no,NA,NA,570,1.560574949,femalenonbreeder
KR11F008,Kuruman 11,KRR,12,25/09/2019,23/09/2019,20,Female,111,20/08/2017,no,NA,NA,766,2.097193703,femalenonbreeder
KR11F008,Kuruman 11,KRR,13,01/04/2020,30/03/2020,17,Female,104,20/08/2017,no,NA,NA,955,2.614647502,femalenonbreeder
KR11F008,NA,KRR,NA,01/06/2020,01/06/2020,NA,Female,NA,20/08/2017,no,NA,99,1016,2.7816564,femalenonbreeder
KR11F013,Kuruman 11,KRR,9,19/03/2018,17/03/2018,15,Female,NA,19/03/2018,no,NA,NA,0,0,femalenonbreeder
KR11F013,Kuruman 11,KRR,10,07/10/2018,02/10/2018,16,Female,77,19/03/2018,no,NA,NA,202,0.553045859,femalenonbreeder
KR11F013,Kuruman 11,KRR,11,13/03/2019,12/03/2019,22,Female,92,19/03/2018,no,NA,NA,359,0.982888433,femalenonbreeder
KR11F013,Kuruman 11,KRR,12,26/09/2019,23/09/2019,20,Female,79,19/03/2018,no,NA,NA,556,1.522245038,femalenonbreeder
KR11F013,Kuruman 11,KRR,13,31/03/2020,30/03/2020,17,Female,84,19/03/2018,no,NA,NA,743,2.034223135,femalenonbreeder
KR11F013,NA,KRR,NA,01/06/2020,01/06/2020,NA,Female,NA,19/03/2018,no,NA,99,805,2.203969884,femalenonbreeder
KR11F015,Kuruman 11,KRR,9,20/03/2018,17/03/2018,15,Female,49,20/03/2018,no,NA,NA,0,0,femalenonbreeder
KR11F015,Kuruman 11,KRR,10,02/10/2018,02/10/2018,16,Female,91,20/03/2018,no,NA,NA,196,0.536618754,femalenonbreeder
KR11F015,Kuruman 11,KRR,11,14/03/2019,12/03/2019,22,Female,115,20/03/2018,no,NA,NA,359,0.982888433,femalenonbreeder
KR11F015,Kuruman 11,KRR,12,24/09/2019,23/09/2019,20,Female,99,20/03/2018,no,NA,NA,553,1.514031485,femalenonbreeder
KR11F015,Kuruman 11,KRR,13,31/03/2020,30/03/2020,17,Female,104,20/03/2018,no,NA,NA,742,2.031485284,femalenonbreeder
KR11F015,NA,KRR,NA,01/06/2020,01/06/2020,NA,Female,NA,20/03/2018,no,NA,99,804,2.201232033,femalenonbreeder
KR11F016,Kuruman 11,KRR,10,03/10/2018,02/10/2018,16,Female,47,03/10/2018,no,NA,NA,0,0,femalenonbreeder
KR11F016,Kuruman 11,KRR,11,13/03/2019,12/03/2019,22,Female,79,03/10/2018,no,NA,NA,161,0.440793977,femalenonbreeder
KR11F016,Kuruman 11,KRR,12,24/09/2019,23/09/2019,20,Female,74,03/10/2018,no,NA,NA,356,0.97467488,femalenonbreeder
KR11F016,Kuruman 11,KRR,13,01/04/2020,30/03/2020,17,Female,85,03/10/2018,no,NA,NA,546,1.49486653,femalenonbreeder
KR11F016,NA,KRR,NA,01/06/2020,01/06/2020,NA,Female,NA,03/10/2018,no,NA,99,607,1.661875428,femalenonbreeder
KR11F018,Kuruman 11,KRR,10,05/10/2018,02/10/2018,16,Female,31,05/10/2018,no,NA,NA,0,0,femalenonbreeder
KR11F018,NA,KRR,NA,09/03/2019,09/03/2019,NA,Female,NA,05/10/2018,no,NA,NA,155,0.424366872,Dead
KR11F019,Kuruman 11,KRR,10,03/10/2018,02/10/2018,16,Female,49,03/10/2018,no,NA,NA,0,0,femalenonbreeder
KR11F019,Kuruman 11,KRR,11,14/03/2019,12/03/2019,22,Female,80,03/10/2018,no,NA,NA,162,0.443531828,femalenonbreeder
KR11F019,Kuruman 11,KRR,12,23/09/2019,23/09/2019,20,Female,74,03/10/2018,no,NA,NA,355,0.971937029,femalenonbreeder
KR11F019,Kuruman 11,KRR,13,31/03/2020,30/03/2020,17,Female,78,03/10/2018,no,NA,NA,545,1.492128679,femalenonbreeder
KR11F019,NA,KRR,NA,01/06/2020,01/06/2020,NA,Female,NA,03/10/2018,no,NA,99,607,1.661875428,femalenonbreeder
