"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","CaptureEnd","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state","id"
"KR1F003","Kuruman 1","KRR",1,"18/11/2013",2013-11-17,"22/11/2013",18,"Female",62,16.18844808,2013-11-17,NA,0,0,"ingroupnonbreeder","1","1"
"KR1F003","Kuruman 1","KRR",2,"28/07/2014",2014-07-27,"30/07/2014",10,"Female",88,15.72555258,2013-11-17,NA,253,0.692676249,"ingroupnonbreeder","1","1"
"KR1F003","Kuruman 1","KRR",3,"16/02/2015",2015-02-16,"18/02/2015",10,"Female",107,60.89109671,2013-11-17,NA,456,1.248459959,"ingroupnonbreeder","1","1"
"KR1F003","Kuruman 1","KRR",4,"15/10/2015",2015-10-14,"16/10/2015",7,"Female",146,7.452079085,2013-11-17,NA,697,1.908281999,"ingroupnonbreeder","1","1"
"KR1F003","Kuruman 1","KRR",5,"26/04/2016",2016-04-26,"27/04/2016",9,"Female",144,116.8075972,2013-11-17,NA,891,2.439425051,"ingroupnonbreeder","1","1"
"KR1F003",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Female",NA,NA,2013-11-17,NA,981,2.685831622,"Disappeared","2","1"
"KR1F015","Kuruman 1","KRR",1,"22/11/2013",2013-11-17,"22/11/2013",18,"Female",78,16.18844808,2013-11-17,NA,5,0.013689254,"ingroupnonbreeder","1","2"
"KR1F015","Kuruman 1","KRR",2,"27/07/2014",2014-07-27,"30/07/2014",10,"Female",86,15.72555258,2013-11-17,NA,252,0.689938398,"ingroupnonbreeder","1","2"
"KR1F015","Kuruman 1","KRR",3,"17/02/2015",2015-02-16,"18/02/2015",10,"Female",106,60.89109671,2013-11-17,NA,457,1.25119781,"ingroupnonbreeder","1","2"
"KR1F015","Kuruman 24","KRR",7,"13/03/2017",2017-03-13,"14/03/2017",1,"Female",120,198.1155283,2013-11-17,NA,1212,3.318275154,"Disappeared","2","2"
"KR7F005","Kuruman 7","KRR",1,"04/12/2013",2013-12-03,"07/12/2013",17,"Female",75,87.00237235,2013-12-03,NA,0,0,"ingroupnonbreeder","1","3"
"KR7F005",NA,"KRR",NA,"27/07/2014",2014-07-27,NA,NA,"Female",NA,NA,2013-12-03,NA,236,0.646132786,"Disappeared","2","3"
"KR7F006","Kuruman 7","KRR",1,"05/12/2013",2013-12-03,"07/12/2013",17,"Female",52,87.00237235,2013-12-03,NA,0,0,"ingroupnonbreeder","1","4"
"KR7F006","Kuruman 7","KRR",2,"08/08/2014",2014-08-06,"08/08/2014",6,"Female",82,4.644637189,2013-12-03,NA,248,0.678986995,"ingroupnonbreeder","1","4"
"KR7F006","Kuruman 7","KRR",3,"04/03/2015",2015-03-03,"04/03/2015",5,"Female",94,108.703723,2013-12-03,NA,456,1.248459959,"ingroupnonbreeder","1","4"
"KR7F006",NA,"KRR",NA,"16/09/2015",2015-09-16,NA,NA,"Female",NA,NA,2013-12-03,NA,652,1.785078713,"Disappeared","2","4"
"KR7F012","Kuruman 7","KRR",1,"06/12/2013",2013-12-03,"07/12/2013",17,"Female",49,87.00237235,2013-12-03,NA,0,0,"ingroupnonbreeder","1","5"
"KR7F012","Kuruman 7","KRR",2,"06/08/2014",2014-08-06,"08/08/2014",6,"Female",76,4.644637189,2013-12-03,NA,246,0.673511294,"ingroupnonbreeder","1","5"
"KR7F012","Kuruman 7","KRR",3,"04/03/2015",2015-03-03,"04/03/2015",5,"Female",91,108.703723,2013-12-03,NA,456,1.248459959,"ingroupnonbreeder","1","5"
"KR7F012","Kuruman 7","KRR",5,"17/02/2016",2016-02-16,"17/02/2016",2,"Female",122,111.7311443,2013-12-03,NA,806,2.206707734,"ingroupnonbreeder","1","5"
"KR7F012",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Female",NA,NA,2013-12-03,NA,965,2.64202601,"Disappeared","2","5"
"KR13F019","Kuruman 13","KRR",1,"25/01/2014",2014-01-22,"28/01/2014",26,"Female",78,118.8639779,2014-01-22,NA,0,0,"ingroupnonbreeder","1","6"
"KR13F019","Kuruman 13","KRR",2,"06/08/2014",2014-08-05,"08/08/2014",21,"Female",117,4.644637189,2014-01-22,NA,196,0.536618754,"ingroupnonbreeder","1","6"
