"AnimalID","Sex","DateofCapture","DateofRecapture","TeethWidth","TeethWidth2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofincisorgrowth","CompleteCapture","CompleteRecapture"
"KR1M017","Male",2013-11-22,2014-07-27,3.62,5.075,"Kuruman 1",18,"KR1F007",10,247,0.005890688,1,1
"KR1F006","Female",2013-11-18,2014-07-27,5.36,5.92,"Kuruman 1",18,"KR1F007",10,251,0.002231076,1,1
"KR1F012","Female",2013-11-20,2014-07-27,4.915,5.165,"Kuruman 1",18,"KR1F007",10,249,0.001004016,1,1
"KR1F003","Female",2013-11-18,2014-07-28,4.675,5.545,"Kuruman 1",18,"KR1F007",10,252,0.003452381,1,1
"KR1M008","Male",2013-11-18,2014-07-29,3.6,5.495,"Kuruman 1",18,"KR1F007",10,253,0.007490119,1,1
"KR1M009","Male",2013-11-18,2014-07-30,6.8,6.825,"Kuruman 1",18,"KR1F007",10,254,9.84e-05,1,1
"KR1F003","Female",2014-07-28,2015-02-16,5.545,5.74,"Kuruman 1",10,"KR1F007",10,203,0.000960591,1,1
"KR1F006","Female",2014-07-27,2015-02-16,5.92,5.9,"Kuruman 1",10,"KR1F007",10,204,-9.8e-05,1,1
"KR1F018","Female",2014-07-27,2015-02-16,2.985,4.92,"Kuruman 1",10,"KR1F007",10,204,0.009485294,1,1
"KR1M017","Male",2014-07-27,2015-02-16,5.075,5.535,"Kuruman 1",10,"KR1F007",10,204,0.002254902,1,1
"KR1F012","Female",2014-07-27,2015-02-17,5.165,5.255,"Kuruman 1",10,"KR1F007",10,205,0.000439024,1,1
"KR1F019","Female",2014-07-28,2015-02-17,2.765,4.915,"Kuruman 1",10,"KR1F007",10,204,0.010539216,1,1
"KR1M009","Male",2014-07-30,2015-02-17,6.825,6.845,"Kuruman 1",10,"KR1F007",10,202,9.9e-05,1,1
"KR1M008","Male",2014-07-29,2015-02-18,5.495,6.33,"Kuruman 1",10,"KR1F007",10,204,0.004093137,1,1
"KR1F003","Female",2015-02-16,2015-10-15,5.74,6.295,"Kuruman 1",10,"KR1F007",7,241,0.002302905,1,1
"KR1F019","Female",2015-02-17,2015-10-15,4.915,5.755,"Kuruman 1",10,"KR1F007",7,240,0.0035,1,1
"KR1M008","Male",2015-02-18,2015-10-15,6.33,6.74,"Kuruman 1",10,"KR1F007",7,239,0.001715481,1,1
"KR1F018","Female",2015-02-16,2015-10-15,4.92,6.005,"Kuruman 1",10,"KR1F007",7,241,0.004502075,1,1
"KR1M009","Male",2015-02-17,2015-10-16,6.845,6.855,"Kuruman 1",10,"KR1F007",7,241,4.15e-05,1,1
"KR1F006","Female",2015-02-16,2015-10-16,5.9,6.45,"Kuruman 1",10,"KR1F007",7,242,0.002272727,1,1
"KR1F003","Female",2015-10-15,2016-04-26,6.295,6.605,"Kuruman 1",7,"KR1F007",9,194,0.001597938,1,1
"KR1M008","Male",2015-10-15,2016-04-27,6.74,7.06,"Kuruman 1",7,"KR1F007",9,195,0.001641026,1,1
"KR1M009","Male",2015-10-16,2016-04-27,6.855,6.89,"Kuruman 1",7,"KR1F007",9,194,0.000180412,1,1
"KR1F019","Female",2015-10-15,2016-04-27,5.755,6.12,"Kuruman 1",7,"KR1F007",9,195,0.001871795,1,1
"KR1F006","Female",2015-10-16,2016-04-27,6.45,6.615,"Kuruman 1",7,"KR1F007",9,194,0.000850515,1,1
"KR1F018","Female",2015-10-15,2016-04-27,6.005,6.19,"Kuruman 1",7,"KR1F007",9,195,0.000948718,1,1
"KR1M009","Male",2017-05-03,2017-10-09,7.3,7.005,"Kuruman 1",4,"KR1F007",4,159,-0.001855346,1,1
"KR1F006","Female",2017-05-03,2017-10-09,6.84,6.77,"Kuruman 1",4,"KR1F007",4,159,-0.000440252,1,1
"KR1F022","Female",2017-05-03,2017-10-09,4.5,5.475,"Kuruman 1",4,"KR1F007",4,159,0.006132075,1,1
"KR1F022","Female",2017-10-09,2018-03-23,5.475,5.96,"Kuruman 1",4,"KR1F007",4,165,0.002939394,1,1
"KR1F006","Female",2017-10-09,2018-03-23,6.77,6.99,"Kuruman 1",4,"KR1F007",4,165,0.001333333,1,1
"KR10M002","Male",2013-12-01,2014-07-27,4.08,5.295,"Kuruman 10",4,"KR10F004",5,238,0.005105042,1,1
"KR10M003","Male",2013-12-02,2014-07-28,6.23,6.31,"Kuruman 10",4,"KR10F004",5,238,0.000336134,1,1
"KR10F005","Female",2014-07-28,2015-02-16,2.295,4.605,"Kuruman 10",5,"KR10F004",5,203,0.01137931,1,1
"KR10M003","Male",2014-07-28,2015-02-16,6.31,6.29,"Kuruman 10",5,"KR10F004",5,203,-9.85e-05,1,1
"KR10M006","Male",2014-07-28,2015-02-16,2.375,5.02,"Kuruman 10",5,"KR10F004",5,203,0.013029557,1,1
"KR10M002","Male",2014-07-27,2015-02-17,5.295,5.64,"Kuruman 10",5,"KR10F004",5,205,0.001682927,1,1
"KR10M003","Male",2015-02-16,2015-10-07,6.29,6.425,"Kuruman 10",5,"KR10F004",5,233,0.000579399,1,1
"KR10M006","Male",2015-02-16,2015-10-07,5.02,5.77,"Kuruman 10",5,"KR10F004",5,233,0.003218884,1,1
"KR10F005","Female",2015-02-16,2015-10-08,4.605,5.555,"Kuruman 10",5,"KR10F004",5,234,0.004059829,1,1
"KR10M003","Male",2015-10-07,2016-04-26,6.425,6.495,"Kuruman 10",5,"KR10F004",10,202,0.000346535,1,1
"KR10M007","Male",2015-10-07,2016-04-26,3.78,5.73,"Kuruman 10",5,"KR10F004",10,202,0.009653465,1,1
"KR10F005","Female",2015-10-08,2016-04-26,5.555,5.885,"Kuruman 10",5,"KR10F004",10,201,0.001641791,1,1
"KR10M006","Male",2015-10-07,2016-04-26,5.77,6.67,"Kuruman 10",5,"KR10F004",10,202,0.004455446,1,1
"KR10M003","Male",2016-04-26,2017-02-20,6.495,6.72,"Kuruman 10",10,"KR10F004",11,300,0.00075,1,1
"KR10M018","Male",2017-02-21,2017-08-19,3.455,5.31,"Kuruman 10",11,"KR10F004",12,179,0.010363128,1,1
"KR10M019","Male",2017-02-22,2017-08-19,4.7,5.845,"Kuruman 10",11,"KR10F004",12,178,0.006432584,1,1
"KR10M014","Male",2017-02-20,2017-08-19,5.46,5.885,"Kuruman 10",11,"KR10F004",12,180,0.002361111,1,1
"KR10M021","Male",2017-02-23,2017-08-19,4.69,5.74,"Kuruman 10",11,"KR10F004",12,177,0.005932203,1,1
"KR10M016","Male",2017-02-21,2017-08-19,5.095,5.48,"Kuruman 10",11,"KR10F004",12,179,0.002150838,1,1
"KR10M003","Male",2017-02-20,2017-08-19,6.72,6.675,"Kuruman 10",11,"KR10F004",12,180,-0.00025,1,1
"KR10M020","Male",2017-02-23,2017-08-22,4.73,5.72,"Kuruman 10",11,"KR10F004",12,180,0.0055,1,1
"KR10M021","Male",2017-08-19,2018-03-17,5.74,6.55,"Kuruman 10",12,"KR10F004",17,210,0.003857143,1,1
"KR10M003","Male",2017-08-19,2018-03-17,6.675,6.89,"Kuruman 10",12,"KR10F004",17,210,0.00102381,1,1
"KR10M019","Male",2017-08-19,2018-03-17,5.845,6.58,"Kuruman 10",12,"KR10F004",17,210,0.0035,1,1
"KR10M014","Male",2017-08-19,2018-03-17,5.885,6.555,"Kuruman 10",12,"KR10F004",17,210,0.003190476,1,1
"KR10F024","Female",2017-08-21,2018-03-18,4.185,5.285,"Kuruman 10",12,"KR10F004",17,209,0.005263158,1,1
"KR10M018","Male",2017-08-19,2018-03-18,5.31,6.35,"Kuruman 10",12,"KR10F004",17,211,0.00492891,1,1
"KR10M020","Male",2017-08-22,2018-03-18,5.72,6.39,"Kuruman 10",12,"KR10F004",17,208,0.003221154,1,1
