"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","CaptureEnd","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state","id"
"KR1M001","Kuruman 1","KRR",1,"17/11/2013",2013-11-17,"22/11/2013",18,"Male",98,16.18844808,2013-11-17,NA,0,0,"ingroupnonbreeder","1","1"
"KR1M001",NA,"KRR",NA,"27/07/2014",2014-07-27,NA,NA,"Male",NA,NA,2013-11-17,NA,252,0.689938398,"Disappeared","2","1"
"KR1M008","Kuruman 1","KRR",1,"18/11/2013",2013-11-17,"22/11/2013",18,"Male",52,16.18844808,2013-11-17,NA,0,0,"ingroupnonbreeder","1","2"
"KR1M008","Kuruman 1","KRR",2,"29/07/2014",2014-07-27,"30/07/2014",10,"Male",100,15.72555258,2013-11-17,NA,254,0.6954141,"ingroupnonbreeder","1","2"
"KR1M008","Kuruman 1","KRR",3,"18/02/2015",2015-02-16,"18/02/2015",10,"Male",140,60.89109671,2013-11-17,NA,458,1.253935661,"ingroupnonbreeder","1","2"
"KR1M008","Kuruman 1","KRR",4,"15/10/2015",2015-10-14,"16/10/2015",7,"Male",162,7.452079085,2013-11-17,NA,697,1.908281999,"ingroupnonbreeder","1","2"
"KR1M008","Kuruman 1","KRR",5,"27/04/2016",2016-04-26,"27/04/2016",9,"Male",170,116.8075972,2013-11-17,NA,892,2.442162902,"ingroupnonbreeder","1","2"
"KR1M008",NA,"KRR",NA,"25/07/2016",2016-07-25,NA,NA,"Male",NA,NA,2013-11-17,NA,981,2.685831622,"Disappeared","2","2"
"KR1M013","Kuruman 1","KRR",1,"21/11/2013",2013-11-17,"22/11/2013",18,"Male",88,16.18844808,2013-11-17,NA,0,0,"ingroupnonbreeder","1","3"
"KR1M013",NA,"KRR",NA,"27/07/2014",2014-07-27,NA,NA,"Male",NA,NA,2013-11-17,NA,252,0.689938398,"Disappeared","2","3"
"KR1M017","Kuruman 1","KRR",1,"22/11/2013",2013-11-17,"22/11/2013",18,"Male",51,16.18844808,2013-11-17,NA,5,0.013689254,"ingroupnonbreeder","1","4"
"KR1M017","Kuruman 1","KRR",2,"27/07/2014",2014-07-27,"30/07/2014",10,"Male",83,15.72555258,2013-11-17,NA,252,0.689938398,"ingroupnonbreeder","1","4"
"KR1M017","Kuruman 1","KRR",3,"16/02/2015",2015-02-16,"18/02/2015",10,"Male",114,60.89109671,2013-11-17,NA,456,1.248459959,"ingroupnonbreeder","1","4"
"KR1M017",NA,"KRR",NA,"16/09/2015",2015-09-16,NA,NA,"Male",NA,NA,2013-11-17,NA,668,1.828884326,"Disappeared","2","4"
"KR10M002","Kuruman 10","KRR",1,"01/12/2013",2013-11-30,"02/12/2013",4,"Male",45,16.18844808,2013-11-30,NA,0,0,"ingroupnonbreeder","1","5"
"KR10M002","Kuruman 10","KRR",2,"27/07/2014",2014-07-27,"28/07/2014",5,"Male",92,15.72555258,2013-11-30,NA,239,0.654346338,"ingroupnonbreeder","1","5"
"KR10M002","Kuruman 10","KRR",3,"17/02/2015",2015-02-16,"18/02/2015",5,"Male",103,60.89109671,2013-11-30,NA,444,1.215605749,"ingroupnonbreeder","1","5"
"KR10M002","Kuruman 10","KRR",9,"17/03/2018",2018-03-17,"20/03/2018",17,"Male",105,121.7158381,2013-11-30,NA,1568,4.292950034,"ingroupnonbreeder","1","5"
"KR10M002",NA,"KRR",NA,"14/09/2018",2018-09-14,NA,NA,"Male",NA,NA,2013-11-30,NA,1749,4.788501027,"Disappeared","2","5"
"KR7M016","Kuruman 7","KRR",1,"06/12/2013",2013-12-03,"07/12/2013",17,"Male",63,87.00237235,2013-12-03,NA,0,0,"ingroupnonbreeder","1","6"
"KR7M016","Kuruman 7","KRR",2,"08/08/2014",2014-08-06,"08/08/2014",6,"Male",99,4.644637189,2013-12-03,NA,248,0.678986995,"ingroupnonbreeder","1","6"
"KR7M016","Kuruman 7","KRR",3,"03/03/2015",2015-03-03,"04/03/2015",5,"Male",112,108.703723,2013-12-03,NA,455,1.245722108,"ingroupnonbreeder","1","6"
"KR7M016","Kuruman 8","KRR",7,"06/02/2017",2017-02-06,"08/02/2017",12,"Male",NA,209.6293089,2013-12-03,NA,1161,3.178644764,"Disappeared","2","6"
"KR13M015","Kuruman 13","KRR",1,"24/01/2014",2014-01-22,"28/01/2014",26,"Male",89,118.8639779,2014-01-22,NA,0,0,"ingroupnonbreeder","1","7"
"KR13M015","Kuruman 13","KRR",2,"06/08/2014",2014-08-05,"08/08/2014",21,"Male",106,4.644637189,2014-01-22,NA,196,0.536618754,"ingroupnonbreeder","1","7"
"KR13M015","Kuruman 13","KRR",3,"10/02/2015",2015-02-10,"13/02/2015",23,"Male",126,60.89109671,2014-01-22,NA,384,1.051334702,"ingroupnonbreeder","1","7"
"KR13M015",NA,"KRR",NA,"16/09/2015",2015-09-16,NA,NA,"Male",NA,NA,2014-01-22,NA,602,1.648186174,"Disappeared","2","7"
"KR13M023","Kuruman 13","KRR",1,"27/01/2014",2014-01-22,"28/01/2014",26,"Male",79,118.8639779,2014-01-22,NA,5,0.013689254,"ingroupnonbreeder","1","8"
"KR13M023",NA,"KRR",NA,"27/07/2014",2014-07-27,NA,NA,"Male",NA,NA,2014-01-22,NA,186,0.509240246,"Disappeared","2","8"
"KR13M024","Kuruman 13","KRR",1,"27/01/2014",2014-01-22,"28/01/2014",26,"Male",33,118.8639779,2014-01-22,NA,5,0.013689254,"ingroupnonbreeder","1","9"
"KR13M024","Kuruman 13","KRR",2,"06/08/2014",2014-08-05,"08/08/2014",21,"Male",99,4.644637189,2014-01-22,NA,196,0.536618754,"ingroupnonbreeder","1","9"
"KR13M024","Kuruman 13","KRR",3,"10/02/2015",2015-02-10,"13/02/2015",23,"Male",128,60.89109671,2014-01-22,NA,384,1.051334702,"ingroupnonbreeder","1","9"
"KR13M024",NA,"KRR",NA,"16/09/2015",2015-09-16,NA,NA,"Male",NA,NA,2014-01-22,NA,602,1.648186174,"Disappeared","2","9"
"KR13M026","Kuruman 13","KRR",1,"28/01/2014",2014-01-22,"28/01/2014",26,"Male",35,118.8639779,2014-01-22,NA,6,0.016427105,"ingroupnonbreeder","1","10"
"KR13M026","Kuruman 13","KRR",2,"07/08/2014",2014-08-05,"08/08/2014",21,"Male",97,4.644637189,2014-01-22,NA,197,0.539356605,"ingroupnonbreeder","1","10"
"KR13M026","Kuruman 13","KRR",3,"10/02/2015",2015-02-10,"13/02/2015",23,"Male",123,60.89109671,2014-01-22,NA,384,1.051334702,"ingroupnonbreeder","1","10"
"KR13M026",NA,"KRR",NA,"16/09/2015",2015-09-16,NA,NA,"Male",NA,NA,2014-01-22,NA,602,1.648186174,"Disappeared","2","10"
"L13M013","Lonely 13","Lonely",2,"04/03/2014",2014-03-01,"04/03/2014",10,"Male",37,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder","1","11"
"L13M013",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,10,"Male",NA,NA,2014-03-01,NA,199,0.544832307,"Disappeared","2","11"
"L14M002","Lonely 14","Lonely",2,"02/03/2014",2014-03-01,"03/03/2014",13,"Male",47,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder","1","12"
"L14M002","Lonely 14","Lonely",3,"16/09/2014",2014-09-16,"17/09/2014",8,"Male",105,6.702013991,2014-03-01,NA,199,0.544832307,"ingroupnonbreeder","1","12"
"L14M002","Lonely 62","Lonely",4,"31/01/2015",2015-01-29,"31/01/2015",2,"Male",123,72.65603459,2014-03-01,NA,336,0.919917864,"Disappeared","2","12"
"L14M003","Lonely 14","Lonely",2,"02/03/2014",2014-03-01,"03/03/2014",13,"Male",44,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder","1","13"
"L14M003",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,13,"Male",NA,NA,2014-03-01,NA,199,0.544832307,"Disappeared","2","13"
"L14M007","Lonely 14","Lonely",2,"03/03/2014",2014-03-01,"03/03/2014",13,"Male",95,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder","1","14"
"L14M007",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,13,"Male",NA,NA,2014-03-01,NA,199,0.544832307,"Disappeared","2","14"
"L14M012","Lonely 14","Lonely",2,"03/03/2014",2014-03-01,"03/03/2014",13,"Male",51,263.0608928,2014-03-01,NA,0,0,"ingroupnonbreeder","1","15"
"L14M012","Lonely 14","Lonely",3,"17/09/2014",2014-09-16,"17/09/2014",8,"Male",115,6.702013991,2014-03-01,NA,200,0.547570157,"ingroupnonbreeder","1","15"
"L14M012",NA,"Lonely",NA,"29/01/2015",2015-01-29,NA,8,"Male",NA,NA,2014-03-01,NA,334,0.914442163,"Disappeared","2","15"
"L18M005","Lonely 18","Lonely",2,"14/03/2014",2014-03-11,"18/03/2014",14,"Male",87,189.4909852,2014-03-11,NA,0,0,"ingroupnonbreeder","1","16"
"L18M005",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,14,"Male",NA,NA,2014-03-11,NA,189,0.517453799,"Disappeared","2","16"
"L18M012","Lonely 18","Lonely",2,"16/03/2014",2014-03-11,"18/03/2014",14,"Male",56,189.4909852,2014-03-11,NA,5,0.013689254,"ingroupnonbreeder","1","17"
"L18M012","Lonely 18","Lonely",3,"01/10/2014",2014-09-30,"02/10/2014",9,"Male",83,5.448128916,2014-03-11,NA,204,0.558521561,"ingroupnonbreeder","1","17"
"L18M012",NA,"Lonely",NA,"29/01/2015",2015-01-29,NA,9,"Male",NA,NA,2014-03-11,NA,324,0.887063655,"Disappeared","2","17"
"L43M002","Lonely 43","Lonely",2,"17/03/2014",2014-03-15,"18/03/2014",4,"Male",41,189.4909852,2014-03-15,NA,0,0,"ingroupnonbreeder","1","18"
"L43M002","Lonely 40","Lonely",6,"23/09/2016",2016-09-22,"23/09/2016",10,"Male",157,4.678070845,2014-03-15,NA,923,2.527036277,"Disappeared","2","18"
"L43M004","Lonely 43","Lonely",2,"18/03/2014",2014-03-15,"18/03/2014",4,"Male",43,189.4909852,2014-03-15,NA,0,0,"ingroupnonbreeder","1","19"
"L43M004",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,4,"Male",NA,NA,2014-03-15,NA,185,0.506502396,"Disappeared","2","19"
"L46M007","Lonely 46","Lonely",2,"03/04/2014",2014-03-31,"03/04/2014",7,"Male",64,189.4909852,2014-03-31,NA,0,0,"ingroupnonbreeder","1","20"
"L46M007",NA,"Lonely",NA,"16/09/2014",2014-09-16,NA,7,"Male",NA,NA,2014-03-31,NA,169,0.462696783,"Disappeared","2","20"
"KR10M006","Kuruman 10","KRR",2,"28/07/2014",2014-07-27,"28/07/2014",5,"Male",29,15.72555258,2014-07-27,NA,0,0,"ingroupnonbreeder","1","21"
