"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","GroupSize","Sex","weight","Rainfall","firstcapturedate","censor","Time.days","Time.years","statecode","state"
"KR10F005","Kuruman 10","KRR",2,"28/07/2014",5,"Female",28,15.72555258,2014-07-27,NA,0,0,"ingroupnonbreeder",1
"KR10F005","Kuruman 10","KRR",3,"16/02/2015",5,"Female",70,60.89109671,2014-07-27,NA,204,0.558521561,"ingroupnonbreeder",1
"KR10F005","Kuruman 10","KRR",4,"08/10/2015",5,"Female",111,7.452079085,2014-07-27,NA,438,1.199178645,"ingroupnonbreeder",1
"KR10F005","Kuruman 10","KRR",5,"26/04/2016",10,"Female",113,116.8075972,2014-07-27,NA,639,1.749486653,"ingroupnonbreeder",1
"KR10F005",NA,"KRR",NA,"25/07/2016",NA,"Female",NA,NA,2014-07-27,NA,729,1.995893224,"Disappeared",2
"KR10F008","Kuruman 10","KRR",5,"26/04/2016",10,"Female",26,116.8075972,2016-04-25,NA,0,0,"ingroupnonbreeder",1
"KR10F008",NA,"KRR",NA,"25/07/2016",NA,"Female",NA,NA,2016-04-25,NA,91,0.249144422,"Disappeared",2
"KR10F010","Kuruman 10","KRR",5,"26/04/2016",10,"Female",60,116.8075972,2016-04-25,NA,0,0,"ingroupnonbreeder",1
"KR10F010",NA,"KRR",NA,"25/07/2016",NA,"Female",NA,NA,2016-04-25,NA,91,0.249144422,"Disappeared",2
"KR10F022","Kuruman 10","KRR",8,"20/08/2017",12,"Female",61,1.34743409,2017-08-19,NA,0,0,"ingroupnonbreeder",1
"KR10F022","Kuruman 10","KRR",10,"04/10/2018",16,"Female",124,11.76823613,2017-08-19,NA,411,1.125256674,"ingroupnonbreeder",1
"KR10F022","Kuruman 10","KRR",11,"16/03/2019",20,"Female",127,69.35182863,2017-08-19,NA,574,1.571526352,"ingroupnonbreeder",1
"KR10F022","Kuruman 10","KRR",12,"09/09/2019",19,"Female",112,0.397720048,2017-08-19,NA,751,2.056125941,"ingroupnonbreeder",1
"KR10F022","Kuruman 10","KRR",13,"09/03/2020",16,"Female",130,165.6746387,2017-08-19,NA,933,2.554414784,"ingroupnonbreeder",1
"KR10F022","Kuruman 10","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2017-08-19,99,1012,2.770704997,"ingroupnonbreeder",99
"KR10F024","Kuruman 10","KRR",8,"21/08/2017",12,"Female",60,1.34743409,2017-08-19,NA,0,0,"ingroupnonbreeder",1
"KR10F024","Kuruman 10","KRR",9,"18/03/2018",17,"Female",97,121.7158381,2017-08-19,NA,211,0.577686516,"ingroupnonbreeder",1
"KR10F024","Kuruman 10","KRR",10,"04/10/2018",16,"Female",106,11.76823613,2017-08-19,NA,411,1.125256674,"ingroupnonbreeder",1
"KR10F024","Kuruman 10","KRR",11,"13/03/2019",20,"Female",111,69.35182863,2017-08-19,NA,571,1.563312799,"ingroupnonbreeder",1
"KR10F024","Kuruman 10","KRR",12,"10/09/2019",19,"Female",101,0.397720048,2017-08-19,NA,752,2.058863792,"ingroupnonbreeder",1
"KR10F024","Kuruman 10","KRR",13,"09/03/2020",16,"Female",120,165.6746387,2017-08-19,NA,933,2.554414784,"ingroupnonbreeder",1
"KR10F024","Kuruman 10","KRR",NA,"27/05/2020",NA,"Female",NA,64.81177172,2017-08-19,99,1012,2.770704997,"ingroupnonbreeder",99
