GroupID,GroupCaptureStartDate,FirstCaptureOfGroup,DaysSinceFirstGroupCap,TimeToNextCap,QueenWeight,GroupSizeAtFirstCapture,CapRecapNumber,NewRecruits,WithinGroupRecruits,AdultNewRecruits,withingrouprecruitmentrate.6mo,withingrouprecruitmentrate.6mo.adults,Rainfall1,Rainfall2,Rainfall3,Rainfall4,Rainfall5,Rainfall6,GroupSizeRecap,GroupSizeRecapWoutRecruits,AvgGroupSize,AvgGroupSizeWoutRecruits,QueenID,KingID,CompleteCapture,QueenPresent,KingPresent,BothBreedersPresent,Location
Kuruman 1,17/11/2013,17/11/2013,0,252,148,18,1,2,2,2,1.428571429,1.428571429,221.2103725,5.383672792,18.43419771,289.2797969,15.31775497,36.15997462,10,8,14,13,KR1F007,KR1M009,1,1,1,1,Kuruman
Kuruman 1,27/07/2014,17/11/2013,252,204,140,10,2,0,0,0,0,0,306.5069787,8.627723708,25.54224822,101.5948182,10.16799517,14.51354546,10,10,10,10,KR1F007,KR1M009,1,1,1,1,Kuruman
Kuruman 1,16/02/2015,17/11/2013,456,240,150,10,3,0,0,0,0,0,200.8555004,8.612308038,16.73795837,108.7836449,3.570026186,13.59795561,7,7,8.5,8.5,KR1F007,KR1M009,1,1,1,1,Kuruman
Kuruman 1,14/10/2015,17/11/2013,696,195,160,7,4,2,2,0,1.846153846,0,198.1766313,6.539344689,16.51471928,199.9852853,18.71921239,33.33088088,9,7,8,7,KR1F007,KR1M009,1,1,1,1,Kuruman
Kuruman 1,03/05/2017,17/11/2013,1263,159,149,4,6,0,0,0,0,0,310.194277,7.870963958,25.84952309,17.34148548,1.114485477,3.468297097,4,4,4,4,KR1F007,KR1M009,1,1,1,1,Kuruman
Kuruman 1,09/10/2017,17/11/2013,1422,165,148,4,7,0,0,0,0,0,316.2930006,6.877718044,26.35775005,159.4171667,27.51453023,31.88343333,4,4,4,4,KR1F007,KR1M009,1,1,1,1,Kuruman
Kuruman 10,27/07/2014,30/11/2013,239,204,123,5,2,0,0,0,0,0,306.5069787,8.627723708,25.54224822,101.5948182,10.16799517,14.51354546,5,5,5,5,KR10F004,KR10M003,1,1,1,1,Kuruman
Kuruman 10,16/02/2015,30/11/2013,443,233,129,5,3,1,1,1,0.772532189,0.772532189,200.8555004,8.612308038,16.73795837,108.7836449,3.570026186,13.59795561,5,4,5,4.5,KR10F004,KR10M003,1,1,1,1,Kuruman
Kuruman 10,07/10/2015,30/11/2013,676,201,145,5,4,5,5,0,4.47761194,0,198.1766313,6.539344689,16.51471928,199.9852853,18.71921239,33.33088088,10,5,7.5,5,KR10F004,KR10M003,1,1,1,1,Kuruman
Kuruman 10,25/04/2016,30/11/2013,877,301,122,10,5,9,7,7,4.186046512,4.186046512,216.0454655,5.450046409,18.00378879,257.1031379,7.684390847,25.71031379,11,2,10.5,6,KR10F004,KR10M003,1,1,1,1,Kuruman
Kuruman 10,20/02/2017,30/11/2013,1178,180,152,11,6,4,4,4,4,4,342.206083,10.20811834,28.51717358,76.35297769,2.276558778,12.72549628,12,8,11.5,9.5,KR10F004,KR10M003,1,1,1,1,Kuruman
Kuruman 10,19/08/2017,30/11/2013,1358,210,135,12,7,6,3,6,2.571428571,5.142857143,307.5138502,6.314267265,25.62615418,175.4112181,16.5222247,25.05874544,17,11,14.5,11.5,KR10F004,KR10M003,1,1,1,1,Kuruman
Kuruman 10,09/09/2019,30/11/2013,2109,181,129,19,11,0,0,0,0,0,131.7196995,2.979689968,10.97664162,230.7623061,24.3572693,38.46038435,16,16,17.5,17.5,KR10F004,KR10M003,1,1,1,1,Kuruman
Kuruman 11,20/02/2017,12/04/2014,1045,180,140,7,6,5,5,5,5,5,342.206083,10.20811834,28.51717358,76.35297769,2.276558778,12.72549628,11,6,9,6.5,KR11F001,L11M021,1,1,1,1,Kuruman
Kuruman 11,19/08/2017,12/04/2014,1225,210,124,11,7,4,3,4,2.571428571,3.428571429,307.5138502,6.314267265,25.62615418,175.4112181,16.5222247,25.05874544,15,11,13,11,KR11F001,L11M021,1,1,1,1,Kuruman
Kuruman 11,23/09/2019,12/04/2014,1990,189,131,20,11,0,0,0,0,0,131.7196995,2.979689968,10.97664162,230.7623061,24.3572693,38.46038435,17,17,18.5,18.5,KR11F001,L11M021,1,1,1,1,Kuruman
Kuruman 13,22/01/2014,22/01/2014,0,195,137,26,1,5,5,5,4.615384615,4.615384615,239.078953,5.57747074,19.92324609,184.4145142,8.312910992,26.3449306,21,16,23.5,21,KR13F013,KR13M004,1,1,1,1,Kuruman
Kuruman 13,05/08/2014,22/01/2014,195,189,148,21,2,6,6,6,5.714285714,5.714285714,307.7008868,9.195791855,25.64174056,99.36217648,13.09095648,16.56036275,23,17,22,19,KR13F013,KR13M004,1,1,1,1,Kuruman
Kuruman 13,10/02/2015,22/01/2014,384,222,129,23,3,9,7,7,5.675675676,5.675675676,200.8555004,8.612308038,16.73795837,106.6727283,3.84832241,15.23896119,22,13,22.5,18,KR13F013,KR13M004,1,1,1,1,Kuruman
Kuruman 13,20/09/2015,22/01/2014,606,205,128,22,4,7,7,5,6.146341463,4.390243902,202.8194177,7.20482556,16.90161814,202.0962018,13.70519483,28.87088598,24,17,23,19.5,KR13F013,KR13M004,1,1,1,1,Kuruman
Kuruman 13,12/04/2016,22/01/2014,811,286,120,24,5,7,7,5,4.405594406,3.146853147,216.0454655,5.450046409,18.00378879,166.3313874,5.840639707,18.48126527,13,7,18.5,15.5,KR13F013,KR13M004,1,1,1,1,Kuruman
Kuruman 19,13/02/2017,30/03/2015,686,169,118,8,4,0,0,0,0,0,342.206083,10.20811834,28.51717358,76.35297769,2.276558778,12.72549628,7,7,7.5,7.5,KR13F017,L11M015,1,1,1,1,Kuruman
Kuruman 19,01/08/2017,30/03/2015,855,295,110,7,5,4,2,3,1.220338983,1.830508475,308.1616622,5.299754284,23.70474325,259.6791374,10.89801092,25.96791374,8,4,7.5,5.5,KR13F017,L11M015,1,1,1,1,Kuruman
Kuruman 19,15/11/2019,30/03/2015,1691,165,142,12,9,0,0,0,0,0,126.1709115,2.777361039,10.51424262,237.873322,43.08506791,47.5746644,10,10,11,11,KR13F017,L11M015,1,1,1,1,Kuruman
Kuruman 20,17/01/2017,14/05/2014,979,196,112,7,5,3,3,3,2.755102041,2.755102041,283.1389846,9.351401838,23.59491538,167.1247281,3.854306734,23.87496116,10,7,8.5,7,KR8F003,BO1M015,1,1,1,1,Kuruman
Kuruman 20,21/09/2018,14/05/2014,1591,185,114,14,8,5,5,3,4.864864865,2.918918919,262.2557508,7.49953163,21.8546459,91.59419119,12.60080385,15.26569853,17,12,15.5,13,KR8F003,BO1M015,1,1,1,1,Kuruman
Kuruman 24,23/09/2019,14/10/2015,1440,189,112,3,5,0,0,0,0,0,131.7196995,2.979689968,10.97664162,230.7623061,24.3572693,38.46038435,3,3,3,3,KR1F015,KR24M003,1,1,1,1,Kuruman
Kuruman 26,30/01/2017,30/05/2016,245,189,110,5,2,4,4,4,3.80952381,3.80952381,283.1389846,9.351401838,23.59491538,167.1247281,3.854306734,23.87496116,9,5,7,5,KR13F025,L57M030,1,1,1,1,Kuruman
Kuruman 26,07/08/2017,30/05/2016,434,234,114,9,3,6,6,3,4.615384615,2.307692308,307.5138502,6.314267265,25.62615418,175.4112181,16.5222247,25.05874544,15,9,12,9,KR13F025,L57M030,1,1,1,1,Kuruman
Kuruman 27,05/02/2017,12/04/2016,299,183,140,11,3,3,3,2,2.950819672,1.967213115,342.206083,10.20811834,28.51717358,76.35297769,2.276558778,12.72549628,12,9,11.5,10,KR13F006,KR13M029,1,1,1,1,Kuruman
Kuruman 28,20/04/2018,23/05/2017,332,148,134,8,3,2,2,2,2.432432432,2.432432432,259.6576486,6.209698373,21.63813739,6.902085601,1.111605066,1.38041712,9,7,8.5,7.5,KR28F001,KR13M046,1,1,1,1,Kuruman
Kuruman 28,15/09/2018,23/05/2017,480,185,123,9,4,2,2,2,1.945945946,1.945945946,262.2557508,7.49953163,21.8546459,91.59419119,12.60080385,15.26569853,11,9,10,9,KR28F001,KR13M046,1,1,1,1,Kuruman
Kuruman 28,19/03/2019,23/05/2017,665,181,118,11,6,2,2,NA,1.988950276,NA,179.9059552,5.352641757,14.99216294,40.12550829,0.704602057,6.687584715,8,6,9.5,8.5,KR28F001,KR13M046,1,1,1,1,Kuruman
Kuruman 28,16/09/2019,23/05/2017,846,182,121,8,7,5,5,NA,4.945054945,NA,131.7196995,2.979689968,10.97664162,230.7623061,24.3572693,38.46038435,13,8,10.5,8,KR28F001,KR13M046,1,1,1,1,Kuruman
Kuruman 30,23/05/2017,26/07/2016,301,325,127,2,2,1,1,1,0.553846154,0.553846154,310.194277,7.870963958,25.84952309,258.1683306,7.070362691,23.46984824,3,2,2.5,2,KR13F021,KR13M049,1,1,1,1,Kuruman
Kuruman 30,13/04/2018,26/07/2016,626,154,124,3,4,0,0,0,0,0,259.6576486,6.209698373,21.63813739,6.902085601,1.111605066,1.38041712,3,3,3,3,KR13F021,KR13M049,1,1,1,1,Kuruman
Kuruman 31,15/05/2017,04/05/2016,376,318,116,3,2,3,3,3,1.698113208,1.698113208,310.194277,7.870963958,25.84952309,176.7586521,5.537557615,17.67586521,7,3,5,3,KR31F001,BO22M008,1,1,1,1,Kuruman
Kuruman 31,23/11/2019,04/05/2016,1298,149,141,13,6,4,2,NA,2.416107383,NA,126.1709115,2.777361039,10.51424262,237.873322,43.08506791,47.5746644,17,13,15,13,KR31F005,BO22M008,1,1,1,1,Kuruman
