"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","BodyLength"
"KR10F005","Kuruman 10","KRR",4,2015-10-08,"07/10/2015",5,"Female",111,"28/07/2014",437,1.196440794,"femalenonbreeder",16.65
"KR10F005","Kuruman 10","KRR",5,2016-04-26,"25/04/2016",10,"Female",113,"28/07/2014",638,1.746748802,"femalenonbreeder",16.8
"KR10F022","Kuruman 10","KRR",10,2018-10-04,"02/10/2018",16,"Female",124,"20/08/2017",410,1.122518823,"femalenonbreeder",18
"KR10F022","Kuruman 10","KRR",12,2019-09-09,"09/09/2019",19,"Female",112,"20/08/2017",750,2.05338809,"femalenonbreeder",18.1
"KR10F022","Kuruman 10","KRR",13,2020-03-09,"08/03/2020",16,"Female",130,"20/08/2017",932,2.551676934,"femalenonbreeder",17.5
"KR10F024","Kuruman 10","KRR",9,2018-03-18,"17/03/2018",17,"Female",97,"21/08/2017",209,0.572210815,"femalenonbreeder",16.25
"KR10F024","Kuruman 10","KRR",11,2019-03-13,"12/03/2019",20,"Female",111,"21/08/2017",569,1.557837098,"femalenonbreeder",16.6
"KR10F024","Kuruman 10","KRR",12,2019-09-10,"09/09/2019",19,"Female",101,"21/08/2017",750,2.05338809,"femalenonbreeder",16.65
"KR10F024","Kuruman 10","KRR",13,2020-03-09,"08/03/2020",16,"Female",120,"21/08/2017",931,2.548939083,"femalenonbreeder",16.75
"KR11F001","Kuruman 11","KRR",1,2014-04-12,"12/04/2014",1,"Female",119,"12/04/2014",0,0,"single",17.65
"KR11F001","Kuruman 11","KRR",2,2014-09-13,"13/09/2014",1,"Female",134,"12/04/2014",154,0.421629021,"single",17.59
"KR11F001","Kuruman 11","KRR",3,2015-04-08,"07/04/2015",1,"Female",137,"12/04/2014",361,0.988364134,"single",17.55
"KR11F001","Kuruman 11","KRR",4,2015-10-07,"07/10/2015",1,"Female",135,"12/04/2014",543,1.486652977,"single",17.85
"KR11F001","Kuruman 11","KRR",5,2016-05-04,"02/05/2016",1,"Female",142,"12/04/2014",753,2.061601643,"single",17.4
"KR11F002","Kuruman 11","KRR",8,2017-08-19,"19/08/2017",11,"Female",94,"20/02/2017",180,0.492813142,"femalenonbreeder",16.6
"KR11F002","Kuruman 11","KRR",9,2018-03-18,"17/03/2018",15,"Female",119,"20/02/2017",391,1.070499658,"femalenonbreeder",17.35
"KR11F002","Kuruman 11","KRR",10,2018-10-03,"02/10/2018",16,"Female",119,"20/02/2017",590,1.615331964,"femalenonbreeder",17.9
"KR11F002","Kuruman 11","KRR",11,2019-03-14,"12/03/2019",22,"Female",133,"20/02/2017",752,2.058863792,"femalenonbreeder",18.05
"KR11F003","Kuruman 11","KRR",8,2017-08-19,"19/08/2017",11,"Female",116,"21/02/2017",179,0.490075291,"femalenonbreeder",17.3
"KR11F003","Kuruman 11","KRR",9,2018-03-19,"17/03/2018",15,"Female",133,"21/02/2017",391,1.070499658,"femalenonbreeder",18.15
"KR11F006","Kuruman 11","KRR",8,2017-08-19,"19/08/2017",11,"Female",92,"22/02/2017",178,0.48733744,"femalenonbreeder",16.5
"KR11F006","Kuruman 11","KRR",9,2018-03-17,"17/03/2018",15,"Female",112,"22/02/2017",388,1.062286105,"femalenonbreeder",17.75
"KR11F006","Kuruman 11","KRR",11,2019-03-13,"12/03/2019",22,"Female",142,"22/02/2017",749,2.05065024,"femalenonbreeder",18.1
"KR11F006","Kuruman 11","KRR",12,2019-09-23,"23/09/2019",20,"Female",121,"22/02/2017",943,2.581793292,"femalenonbreeder",18.1
"KR11F007","Kuruman 11","KRR",9,2018-03-18,"17/03/2018",15,"Female",98,"19/08/2017",211,0.577686516,"femalenonbreeder",16.8
"KR11F007","Kuruman 11","KRR",11,2019-03-13,"12/03/2019",22,"Female",128,"19/08/2017",571,1.563312799,"femalenonbreeder",18.5
"KR11F008","Kuruman 11","KRR",9,2018-03-18,"17/03/2018",15,"Female",107,"20/08/2017",210,0.574948665,"femalenonbreeder",17.55
