"AnimalID","GroupID","Location","TrappingPeriod","DateofCapture","CaptureStart","GroupSize","Sex","weight","firstcapturedate","Time.days","Time.years","statecode","TeethWidth","BodyLength","weight.ln","teethwidth.ln"
"KR10F005","Kuruman 10","KRR",4,2015-10-08,"07/10/2015",5,"Female",111,"28/07/2014",437,1.196440794,"femalenonbreeder",5.555,16.65,4.70953020131233,1.71469842309159
"KR10F005","Kuruman 10","KRR",5,2016-04-26,"25/04/2016",10,"Female",113,"28/07/2014",638,1.746748802,"femalenonbreeder",5.885,16.8,4.72738781871234,1.77240674071224
"KR10F022","Kuruman 10","KRR",10,2018-10-04,"02/10/2018",16,"Female",124,"20/08/2017",410,1.122518823,"femalenonbreeder",5.9,18,4.82028156560504,1.77495235091167
"KR10F022","Kuruman 10","KRR",12,2019-09-09,"09/09/2019",19,"Female",112,"20/08/2017",750,2.05338809,"femalenonbreeder",6.22,18.1,4.71849887129509,1.82776990675109
"KR10F022","Kuruman 10","KRR",13,2020-03-09,"08/03/2020",16,"Female",130,"20/08/2017",932,2.551676934,"femalenonbreeder",5.9,17.5,4.86753445045558,1.77495235091167
"KR10F024","Kuruman 10","KRR",9,2018-03-18,"17/03/2018",17,"Female",97,"21/08/2017",209,0.572210815,"femalenonbreeder",5.285,16.25,4.57471097850338,1.6648726193222
"KR10F024","Kuruman 10","KRR",11,2019-03-13,"12/03/2019",20,"Female",111,"21/08/2017",569,1.557837098,"femalenonbreeder",6.115,16.6,4.70953020131233,1.81074476913914
"KR10F024","Kuruman 10","KRR",12,2019-09-10,"09/09/2019",19,"Female",101,"21/08/2017",750,2.05338809,"femalenonbreeder",5.885,16.65,4.61512051684126,1.77240674071224
"KR10F024","Kuruman 10","KRR",13,2020-03-09,"08/03/2020",16,"Female",120,"21/08/2017",931,2.548939083,"femalenonbreeder",6.11,16.75,4.78749174278205,1.8099267731835
"KR11F001","Kuruman 11","KRR",1,2014-04-12,"12/04/2014",1,"Female",119,"12/04/2014",0,0,"single",5.735,17.65,4.77912349311153,1.74658775058133
"KR11F001","Kuruman 11","KRR",2,2014-09-13,"13/09/2014",1,"Female",134,"12/04/2014",154,0.421629021,"single",5.82,17.59,4.89783979995091,1.76130026174335
"KR11F001","Kuruman 11","KRR",3,2015-04-08,"07/04/2015",1,"Female",137,"12/04/2014",361,0.988364134,"single",5.945,17.55,4.91998092582813,1.78255053014275
"KR11F001","Kuruman 11","KRR",4,2015-10-07,"07/10/2015",1,"Female",135,"12/04/2014",543,1.486652977,"single",6.085,17.85,4.90527477843843,1.80582672643949
"KR11F001","Kuruman 11","KRR",5,2016-05-04,"02/05/2016",1,"Female",142,"12/04/2014",753,2.061601643,"single",5.88,17.4,4.95582705760126,1.77155676191054
"KR11F002","Kuruman 11","KRR",9,2018-03-18,"17/03/2018",15,"Female",119,"20/02/2017",391,1.070499658,"femalenonbreeder",5.285,17.35,4.77912349311153,1.6648726193222
"KR11F002","Kuruman 11","KRR",10,2018-10-03,"02/10/2018",16,"Female",119,"20/02/2017",590,1.615331964,"femalenonbreeder",5.52,17.9,4.77912349311153,1.708377860289
"KR11F002","Kuruman 11","KRR",11,2019-03-14,"12/03/2019",22,"Female",133,"20/02/2017",752,2.058863792,"femalenonbreeder",5.795,18.05,4.89034912822175,1.75699547679172
"KR11F003","Kuruman 11","KRR",8,2017-08-19,"19/08/2017",11,"Female",116,"21/02/2017",179,0.490075291,"femalenonbreeder",5.34,17.3,4.75359019110636,1.6752256529721
"KR11F003","Kuruman 11","KRR",9,2018-03-19,"17/03/2018",15,"Female",133,"21/02/2017",391,1.070499658,"femalenonbreeder",5.65,18.15,4.89034912822175,1.73165554515835
"KR11F006","Kuruman 11","KRR",9,2018-03-17,"17/03/2018",15,"Female",112,"22/02/2017",388,1.062286105,"femalenonbreeder",5.75,17.75,4.71849887129509,1.74919985480926
"KR11F006","Kuruman 11","KRR",11,2019-03-13,"12/03/2019",22,"Female",142,"22/02/2017",749,2.05065024,"femalenonbreeder",6.025,18.1,4.95582705760126,1.79591747937672
"KR11F006","Kuruman 11","KRR",12,2019-09-23,"23/09/2019",20,"Female",121,"22/02/2017",943,2.581793292,"femalenonbreeder",5.97,18.1,4.79579054559674,1.78674692740451
"KR11F007","Kuruman 11","KRR",9,2018-03-18,"17/03/2018",15,"Female",98,"19/08/2017",211,0.577686516,"femalenonbreeder",5.64,16.8,4.58496747867057,1.72988406550997
"KR11F007","Kuruman 11","KRR",11,2019-03-13,"12/03/2019",22,"Female",128,"19/08/2017",571,1.563312799,"femalenonbreeder",5.795,18.5,4.85203026391962,1.75699547679172
"KR11F008","Kuruman 11","KRR",10,2018-10-04,"02/10/2018",16,"Female",121,"20/08/2017",410,1.122518823,"femalenonbreeder",5.44,17.5,4.79579054559674,1.69377906086785
"KR11F008","Kuruman 11","KRR",11,2019-03-13,"12/03/2019",22,"Female",122,"20/08/2017",570,1.560574949,"femalenonbreeder",5.585,17.65,4.80402104473326,1.72008443252116
"KR11F008","Kuruman 11","KRR",12,2019-09-25,"23/09/2019",20,"Female",111,"20/08/2017",766,2.097193703,"femalenonbreeder",5.57,17.15,4.70953020131233,1.71739505393919
"KR11F008","Kuruman 11","KRR",13,2020-04-01,"30/03/2020",17,"Female",104,"20/08/2017",955,2.614647502,"femalenonbreeder",5.595,17.45,4.64439089914137,1.72187334176389
"KR11F013","Kuruman 11","KRR",11,2019-03-13,"12/03/2019",22,"Female",92,"19/03/2018",359,0.982888433,"femalenonbreeder",5.33,16.7,4.52178857704904,1.67335123817775
"KR11F013","Kuruman 11","KRR",13,2020-03-31,"30/03/2020",17,"Female",84,"19/03/2018",743,2.034223135,"femalenonbreeder",5.525,15.7,4.43081679884331,1.70928324740382
"KR11F015","Kuruman 11","KRR",11,2019-03-14,"12/03/2019",22,"Female",115,"20/03/2018",359,0.982888433,"femalenonbreeder",5.345,16.75,4.74493212836325,1.67616154447701
"KR11F015","Kuruman 11","KRR",12,2019-09-24,"23/09/2019",20,"Female",99,"20/03/2018",553,1.514031485,"femalenonbreeder",5.39,16.75,4.59511985013459,1.68454538492091
"KR11M012","Kuruman 11","KRR",11,2019-03-13,"12/03/2019",22,"Female",100,"18/03/2018",360,0.985626283,"femalenonbreeder",5.4,16.25,4.60517018598809,1.68639895357023
