AnimalID,Sex,DateofCapture,DateofRecapture,weight,weight2,GroupID,GroupSize,QueenID,GroupSizeRecapture,timediff,rateofbodymassgrowth
KR10M002,Male,01/12/2013,27/07/2014,45,92,Kuruman 10,4,KR10F004,5,238,0.197478992
KR10M002,Male,27/07/2014,17/02/2015,92,103,Kuruman 10,5,KR10F004,5,205,0.053658537
KR10M003,Male,02/12/2013,28/07/2014,142,142,Kuruman 10,4,KR10F004,5,238,0
KR10M003,Male,28/07/2014,16/02/2015,142,146,Kuruman 10,5,KR10F004,5,203,0.019704433
KR10M003,Male,16/02/2015,07/10/2015,146,160,Kuruman 10,5,KR10F004,5,233,0.060085837
KR10M003,Male,07/10/2015,26/04/2016,160,157,Kuruman 10,5,KR10F004,10,202,-0.014851485
KR10M003,Male,26/04/2016,20/02/2017,157,168,Kuruman 10,10,KR10F004,11,300,0.036666667
KR10M003,Male,20/02/2017,19/08/2017,168,165,Kuruman 10,11,KR10F004,12,180,-0.016666667
KR10M003,Male,19/08/2017,17/03/2018,165,170,Kuruman 10,12,KR10F004,17,210,0.023809524
KR10M003,Male,17/03/2018,03/10/2018,170,162,Kuruman 10,17,KR10F004,16,200,-0.04
KR10M003,Male,03/10/2018,13/03/2019,162,170,Kuruman 10,16,KR10F004,20,161,0.049689441
KR10M003,Male,13/03/2019,10/09/2019,170,138,Kuruman 10,20,KR10F004,19,181,-0.17679558
KR10M003,Male,10/09/2019,08/03/2020,138,146,Kuruman 10,19,KR10F004,16,180,0.044444444
KR10M006,Male,28/07/2014,16/02/2015,29,82,Kuruman 10,5,KR10F004,5,203,0.261083744
KR10M006,Male,16/02/2015,07/10/2015,82,121,Kuruman 10,5,KR10F004,5,233,0.167381974
KR10M006,Male,07/10/2015,26/04/2016,121,146,Kuruman 10,5,KR10F004,10,202,0.123762376
KR10M006,Male,26/04/2016,06/03/2017,146,191,Kuruman 10,10,KR10F004,2,314,0.143312102
KR10M006,Male,06/03/2017,13/09/2017,191,181,Kuruman 33,2,NA,4,191,-0.052356021
KR10M006,Male,17/10/2018,15/04/2019,171,181,Kuruman 33,5,KR1F019,7,180,0.055555556
KR10M006,Male,15/04/2019,10/10/2019,181,167,Kuruman 33,7,KR1F019,7,178,-0.078651685
KR10M006,Male,10/10/2019,16/04/2020,167,163,Kuruman 33,7,KR1F019,6,189,-0.021164021
KR10M007,Male,07/10/2015,26/04/2016,57,101,Kuruman 10,5,KR10F004,10,202,0.217821782
KR10M007,Male,26/04/2016,07/02/2017,101,182,Kuruman 10,10,KR10F004,12,287,0.282229965
KR10M013,Male,04/05/2017,09/10/2017,127,130,Kuruman 34,2,KR13F043,4,158,0.018987342
KR10M013,Male,06/04/2019,09/09/2019,143,129,Kuruman 34,7,KR13F043,8,156,-0.08974359
KR10M013,Male,09/09/2019,02/04/2020,129,147,Kuruman 34,8,KR13F043,8,206,0.087378641
KR10M014,Male,20/02/2017,19/08/2017,102,122,Kuruman 10,11,KR10F004,12,180,0.111111111
KR10M014,Male,19/08/2017,17/03/2018,122,150,Kuruman 10,12,KR10F004,17,210,0.133333333
KR10M014,Male,17/03/2018,02/10/2018,150,141,Kuruman 10,17,KR10F004,16,199,-0.045226131
KR10M014,Male,02/10/2018,14/03/2019,141,151,Kuruman 10,16,KR10F004,20,163,0.061349693
KR10M014,Male,14/03/2019,09/09/2019,151,134,Kuruman 10,20,KR10F004,19,179,-0.094972067
